AH1-V-ER0-M-EH2-N-T-AH0-L-IY0, GOVERNMENTALLY
ER1-L-IH0-NG-HH-AE2-M, BURLINGHAM
EY1-AH0-N-EH2-T-S, BAYONETS
IH1-CH-T-B-L-AW2, LICHTBLAU
IH1-F-T-AH0-D, DRIFTED GIFTED LIFTED SHIFTED SIFTED
IY1-B-OW2-ER0, BEEBOWER
AH1-N-S-K-AO2-M, UNSCOM
IY1-L-D-IY0-N-AH0-S, UNWIELDINESS
AE1-T-AH0-S-AH0-Z, APPARATUSES STRATUS'S
EY1-K-S-AY2-D, LAKESIDE
AO1-T-ER0-W-ER0-TH, WATERWORTH
AE1-F-S-P-IY2-P-AH0-L, CRAFTSPEOPLE(2)
OW1-CH-AH0-Z, APPROACHES BROACHES COACH'S COACHES ENCROACHES ROACHES
OW1-L-S-T-OY2-Z, TOLSTOY'S
EH1-G-Y-AH0-L-EY2-T-ER0, REGULATOR
AA1-S-AA0-R-T, BROSSART
EH1-L-ER0-IY0, CELERY DELOREY ELLEREY ELLERY
EH1-L-N-IH2-T-S, WELLNITZ
AO1-R-AH0-HH-AE0-N, MORAHAN
EH1-P-S-IH2-S-T-ER0-Z, STEPSISTERS
AE1-L-V-ER0-IY0-Z, CALVARIES
IH1-N-IY0-S-K-ER2-T, MINISKIRT
OW1-P-AH0-D, LOPID
OW1-V-ER0-R-AH2-N-Z, OVERRUNS
AO1-R-AH0-D-AH0-Z, FLORIDA'S
AE1-S-P-AO2-R-T-S, PASSPORTS
OW1-V-ER0-S-P-EH2-N-D-Z, OVERSPENDS
EH1-M-B-AH0-L-IH0-NG, ASSEMBLING RESEMBLING TREMBLING
IH1-D-IH0-V-IH2-S-T, RECIDIVIST
IH1-G-Y-AH0-W-AH0-S, UNAMBIGUOUS
OW1-Z-AH0-N-K-R-AE0-N-Z, ROSENCRANS
AA1-R-L-AH0-N-D, CARLAND CHARLAND DARLAND FARLAND GARLAND HARLAND MACFARLAND MARLAND MCFARLAND MCPARLAND
UW1-D-IH2-Z-AH0-M, BUDDHISM
UW1-P-ER0-D-R-AH2-G, SUPERDRUG
AA1-T-IH0-K-AH0, EROTICA LUXOTTICA(2)
AY1-N-D-IH0-K-ER0, LEINDECKER LEYENDECKER
ER1-B-OW0-CH-AA2-R-JH-IH0-NG, TURBOCHARGING
AA1-M-EH0-N-Z, KAMENS
AA1-D-B-AW2-T, GODBOUT
EH1-R-IY0-AH0-N-S-AH0-Z, VARIANCES
IH1-N-D-AO2-R-Z, INDOORS
AA1-M-P-AW0, CAMPAU
UW1-P-ER0-F-IH2-SH-AH0-L-IY0, SUPERFICIALLY(2)
AE1-S-ER0-B-IY0, PASSERBY
AW1-T-F-IH2-T-AH0-D, OUTFITTED
AW1-IH2-S, DOWIS MAOISTS(3) POWIS
AY1-D-L-AY2-N, GUIDELINE SIDELINE
EH1-M-N-AA2-N, AGAMEMNON MEMNON
EH1-N-D-AH0-L-AH0-N, GWENDOLYN
AA1-R-DH-AH0-S-T, FARTHEST
AA1-R-T-R-AH0-Z, ARTRA'S
AO1-D-IY0, AUDI BAWDY BROADIE BROADY CLAUDIE DAWDY DRAWDY GAUDY PATNAUDE SAUDI SAWDEY SAWDY
AE1-F-R-AH0-D-AY2-T, HERMAPHRODITE
AA1-P-S-T, PROPST
AE1-L-AH0-K, BLALACK HALLOCK MALAK MALLOCH PALUCH PALUCK SALAK SCHALLOCK
AE1-L-K-AH0-T, CALCUTT TALCOTT
EH1-R-T, BEKAERT GAUBERT(2) GEHRT GEVAERT
EY1-T-ER0-SH-IH2-P, DICTATORSHIP
AE1-T-IH0-NG-G-L-IY0, MATTINGLEY
IH1-K-ER0-D-Z, RICKARDS
AO1-D-Z-IY0-AE0-K-S, BODZIAK'S
IH1-M-N-AH0-L-Z, HYMNALS
UW1-P-ER0-V-AY2-Z-D, SUPERVISED UNSUPERVISED
EH1-TH-AH0-L, BETHEL BETHELL ETHEL ETHYL GRETHEL METHYL PETHEL PETHTEL
ER1-S, ADVERSE AVERSE BEARCE BEARSE BEARSS BIODIVERSE BURSE COERCE CONVERSE(2) CURSE DISBURSE DISPERSE DIVERSE EMERSE FIRSTS(3) FURSE HEARSE IMMERSE INTERSPERSE INVERSE KEARSE KERCE MERCE NURSE OBVERSE PEARSE PERCE PERS PERSE PERVERSE PURSE REHEARSE REIMBURSE REVERSE SCEARCE SUBMERSE TERSE TRANSVERSE TRAVERSE(2) VERSE WORSE
AH1-P-L-IH0-NG-K, UPLINK
AO1-NG-V-Y-UW2, LONGVIEW
UH1-K-AH0-D-N-AH0-S, CROOKEDNESS
AA1-N-D-R-IY0-AE0-N, MONDRIAN(2)
OW1-S-IY2, BEAUCE
AH1-N-D-ER0-F-AH2-N-D-IH0-NG, UNDERFUNDING
EH1-L-IH0-SH-M-AH0-N-T, EMBELLISHMENT
EY1-W-AO0-R-D-IY2-N, JAYEWARDENE
OW1-N-B-AE2-K, STONEBACK
OW1-S-T-ER0-HH-AO2-F, OSTERHOFF
IH1-N-AH0-M-AH0-T, INTIMATE(3)
AO1-F-IH2-L, OFFILL
AY1-R-HH-OW0-L-Z-ER0, HIERHOLZER
EY1-S-T-AH0, MAJESTA
IH1-P-K-AY0-N-D, LIPKIND(2)
IY1-M-IH0-SH-N-AH0-S, SQUEAMISHNESS
AH1-M-D-IH0-NG-ER0, HUMDINGER
AO1-R-IY0-IH0-NG, QUARRYING
AA1-N-L-IH2-N, CONLIN DONLIN
EH1-P-M-AH2-DH-ER0, STEPMOTHER
AE1-F-T-ER0-W-ER0-D, AFTERWARD
AY1-L-AE2-N-D, THAILAND
EH1-R-AH0-N-T-IH0-NG, PARENTING
AE1-G-R-AH0-V-EY2-T-IH0-NG, AGGRAVATING
ER1-F-ER0-TH, HERFURTH
IY1-ZH, PRESTIGE
OW1-G-AH0-Z, TICONDEROGA'S
AA1-M-Y-AH0-N-AH0-S-T-S, COMMUNIST'S COMMUNISTS
OY1-T-OW0, KOITO
AW1-F-AH0-N-B-ER0-G, LAUFENBERG
OW1-L-T-ER0-HH-AO2-F-S, HOELTERHOFF'S
UW1-G-IH2-N-Z, GOOGINS
IH1-K-AH0-N-Z-AH0-Z, DICKENS'S PICKENS'S
AO1-L-S-AH0-F-AY2-IH0-NG, FALSIFYING
EY1-D-IH2-N, AYDIN
AA1-M-AH0-S-T, PROMISED
IY1-D-IH2-M, HASIDIM(2)
OW1-AH0-S, LOESS LOIS
UW1-G-EY0-T, HUGUET NEWGATE
EY1-B-R-AH0-M-Z, ABRAMS
ER1-B-IY0-AH0-N, SERBIAN
IH1-L-IH2-T-S, WILLITS
AE1-G-R-AH0-G-EY2-T, AGGREGATE(2)
IH1-S-P-L-IY0, CRISPLY
AO1-L-S-AH0, BALSA SALSA
AO1-CH, AUCH BAUCH BLAUCH BRAUCH GAUCH HAUCH JAUCH KOCH MAUCH PLAUCHE RAUCH STAUCH WACH YAUCH
AY1-D-P-OW2-S-T, GUIDEPOST
IY1-AH0-N-S, ADRIANCE BIOSCIENCE PURVIANCE
AE1-D-AH0-M-AH0-N-T-L-IY0, ADAMANTLY
EH1-N-D-ER0-Z, BENDER'S BENDERS BLENDERS CONTENDERS DEFENDER'S DEFENDERS ENDERS ENDRES FENDERS GENDERS LENDER'S LENDERS LENDERS' OFFENDERS PENDERS PRETENDERS RENDERS SENDERS SPENDERS SURRENDERS SUSPENDERS TENDERS VENDOR'S VENDORS VENDORS' WENDERS
IY1-S-P-AE2-N-Z, C-SPAN'S
IY1-T-ER0-M, PRETERM
AA1-CH-EH0-K, MROCZEK PLACZEK SPACEK TOCZEK
AY1-K-OW2-L-D-Z, REICHHOLD'S(2)
IH1-JH-P-AO2-R-T, BRIDGEPORT
OW1-D-IY0-S, TODI'S
IH1-K-T-AH0-M-L-AH0-S, VICTIMLESS
AE1-D-R-AH0-S, MADRAS
AO1-R-M-EH2-N-T, SELF-TORMENT TORMENT
AA1-K-S-AH0-M, BLOXHAM BLOXOM BLOXSOM
AE1-T-ER0-P-R-UW2-F, SHATTERPROOF
IH1-N-K-W-EH2-S-T, INQUEST
AE1-D-AA0, ADAH
OW1-K-N-ER0, GLOECKNER KLOECKNER
AA1-N-T-UH2-R-Z, CONTOURS
AO1-S-P-ER0-AH0-N, CEPHALOSPORIN
EH1-D-B-UH2-SH, WEDBUSH
IH1-N-D-S-T-EH0-T, LINDSTEDT
AA1-T-AH0-N-W-UH2-D, COTTONWOOD
AA1-N-T-R-AE0-S, CONTRASTS(5)
EH1-N-CH-AH0-W-AH0-L-IY0, EVENTUALLY
OW1-EY2-M-AH0-N, GOEMON
AE1-D-IH0-NG-T-AH0-N, ADDINGTON PADDINGTON
EH1-S-L-OW0, BRESLOW
OY1-S-ER0-Z, CHOICERS
IH1-SH-AH0-L-IY0, ARTIFICIALLY BENEFICIALLY INITIALLY JUDICIALLY OFFICIALLY UNOFFICIALLY
OW1-K-AA0-R, PLOCAR
AE1-D-M-IY0-AH0-M, CADMIUM
UW1-EH0-L, DEUEL DEWAELE JEWELL
IH1-N-Z-IY0, KINSEY KINZEY KINZIE LINSEY LINZEY LINZY MCKINSEY MCKINZIE
IH1-SH-AH0-N-Z, ACADEMICIANS ACQUISITION'S ACQUISITIONS ADDITIONS ADMISSIONS ADMONITIONS AMBITIONS AMMUNITIONS APPARITIONS AUDITIONS CLINICIANS COALITION'S COALITIONS COMMISSION'S COMMISSIONS COMPETITION'S COMPETITIONS COMPOSITIONS CONDITIONS DEFINITIONS DEPOSITIONS DIETITIAN'S DIETITIANS DISPOSITIONS EDITION'S EDITIONS ELECTRICIANS ELECTRICIANS' EMISSIONS EXHIBITIONS EXPEDITIONS EXPOSITIONS GERIATRICIANS INHIBITIONS INTERMISSIONS JUXTAPOSITIONS MAGICIANS MATHEMATICIANS MISSION'S MISSIONS MUNITIONS MUSICIAN'S MUSICIANS MUSICIANS' OBSTETRICIANS OMISSIONS OPPOSITION'S OPTICIANS PARTITIONS PATRICIANS PEDIATRICIANS PERMISSIONS PETITIONS PHYSICIAN'S PHYSICIANS PHYSICIANS' POLITICIAN'S POLITICIANS POLITICIANS' POSITIONS PRECONDITIONS PREDISPOSITIONS PROHIBITION'S PROHIBITIONS PROPOSITIONS RECOGNITION'S REMISSIONS RENDITIONS REPETITIONS RHETORICIANS STATISTICIANS SUBMISSIONS SUPERSTITIONS SUPPOSITIONS SUSPICIONS TACTICIANS TECHNICIAN'S TECHNICIANS THEORETICIANS TRADITIONS TRANSITIONS TRANSMISSIONS TUITIONS
AA1-R-G-ER0-AH0-N, BARGERON
IY1-B-M-AH0-N, LEIBMAN LIEBMAN LIEBMANN RIEBMAN
OW1-L-D-Z-W-ER2-TH, HOLDSWORTH
UW1-P-ER0-F-L-W-AH2-S, SUPERFLUOUS
UW1-T-ER0-Z, COMMUTERS COMPUTER'S COMPUTERS COMPUTERS' GROOTERS HOOTERS LOOTERS MICROCOMPUTERS MINICOMPUTERS POLLUTERS RECRUITERS ROOTERS SCOOTERS SHOOTERS SUITOR'S SUITORS SUPERCOMPUTERS TUTORS WOOTERS
UW1-T-IH2-K, KRUTICK
UW1-T-R-OW0, SUTRO
AE1-L-Z-AH0-L, DALZELL
EH1-G-IY0-N-ER0, DEGENER WEGENER
IH1-K-AH0-L-EH0-F, MICALLEF
UW1-Z-P-R-IH2-N-T, NEWSPRINT
AE1-N-D-AH0-L-AY2-Z, SCANDALIZE VANDALIZE
AA1-R-K-D-AW2-N-Z, MARKDOWNS
IH1-D-HH-AH0-M, STIDHAM
IY1-B-AE2-K, FEEBACK
OW1-L-B-AO2, COLBAUGH
UW1-Z-K-AE2-S, NEWSCASTS(3)
AA1-R-IY0-N, SAMARIN TARIN
IY1-D-AH0-L-L-AY2-K, NEEDLELIKE
OW1-L-AH0-N-B-ER0-G, KOHLENBERG
AE1-V-AA0-K-S, DAVOX
AO1-T-ER0-M-AH0-N, WATERMAN WATERMEN
AE1-NG-B-OW0, LANGBO
AO1-R-K-Y-AH0-N, KERVORKIAN(2)
EH1-R-AH0-L-AY2-N-Z, CAROLINE'S
EH1-R-N-Z, BEHRNS CAIRNES CAIRNS
AY1-T-HH-AW2-S, LIGHTHOUSE WHITEHOUSE
EH1-TH-IH0-K-S, BIOETHICS ETHICS
IY1-JH-EH0-K-S, REJECTS(4)
AA1-R-L-S-AH0-N, CARLSEN CARLSON CARLSSON CHARLSON KARLSEN KARLSON KARLSSON
IH1-B-AH0-L-T, TYBALT
OW1-S-B-IY2-K, GROSBEAK
AO1-JH-AH0-N-AH0-S, ANDROGYNOUS
AA1-R-F-M-AH0-N, SHARFMAN
AE1-L-IY0-W-EY2-Z, ALLEYWAYS
AH1-N-IY0-S-EH2-N-T-ER0, MONEYCENTER
ER1-L-D-V-IH2-ZH-AH0-N, WORLDVISION
AA1-R-L-IH0-NG-ER0, GARLINGER
AA1-N-S-T-AH0-N-T-S, CONSTANT'S CONSTANTS
IH1-L-G-OW0, KILGO
IH1-D-IY0, BIDDIE BIDDY BRIDIE BRYDIE DIDDY GIDDY KIDDIE KIDDY LIDDY LYDIE PRIDDY SCHMIDDY SMIDDY TWIDDY
AA1-G-S-T-AH0-N, CLOGSTON HOGSTON LOGSTON
IH1-M-AH0-G-R-AH0-N-T-S, IMMIGRANT'S IMMIGRANTS
AE1-B-D-AH0-M-AH0-N-Z, ABDOMENS(2)
OY1-R-Z, NOIRS
OW1-T-AH2, BOTHA(3)
AA1-R-SH-AH0-N, DOORDARSHAN MARTIAN
AA1-S-P-R-AH0-V-IH0-CH, KASPROWICZ
AE1-JH-AH0-W-AH0-L-IH2-Z-AH0-M, GRADUALISM
AE1-NG-K-L-AH0-M, ANKLAM
EH1-G-M-EH2-N-AH0-D, SEGMENTED(3)
EH1-S-T-F-IY0-D-IH0-NG-Z, BREASTFEEDING'S
AA1-N-S-IH0-NG-ER0, HONSINGER
EH1-CH-K-AH0-N-B-AA0-M, ZWETCHKENBAUM
IH1-K-T-AH0-N-B-ER0-G, LICHTENBERG SCHWICHTENBERG
IH1-L-EH0-N-D-ER0, MILLENDER
ER1-CH-G-OW2-ER0-Z, CHURCHGOERS
AH1-M-N-AH0-S, ALUMNUS NUMBNESS
IH1-N-D-B-ER0-G, LINDBERGH
ER1-JH, BERGE BIRGE BURDGE CONVERGE DIRGE DIVERGE EMERGE MERGE PURGE REEMERGE SCOURGE SERGE SPLURGE SPURGE SUBMERGE SURGE URGE VERGE VIRGE
IH1-T-IH0-K-AH0-L-IY0, CRITICALLY POLITICALLY UNCRITICALLY
AE1-K-AH0-N-B-EH2-R-IY0, BRACKENBURY
AE1-V-IY0, DAVEE SAVVY
EY1-N-IY0-K-OW0, DOMENICO
IH1-S-T-AH0-L-AY2-Z-D, CRYSTALLIZED
EH1-K-Y-UW0-L-AH0, NECULA
AH1-N-D-IH2-N, LUNDIN
OW1-L-D-M-AA2-R-K, GOLDMARK
OW1-S-T-ER0-Z, COASTERS KOESTERS POSTERS ROASTERS TOASTERS
AW1-G-ER2-L-Z, COWGIRLS
AY1-F-L-AY2-N-Z, LIFELINES
OW1-V-ER0-SH-UW2-T, OVERSHOOT
EY1-S-T-F-AH0-L-N-AH0-S, WASTEFULNESS
UH1-K-W-AH0-L-T-ER0, BOOKWALTER
IH1-M-AH0-N-AH0-L-AH0-S-S, CRIMINALISTS(2)
AE1-N-AH0-JH-ER0-Z, MANAGERS MANAGERS'
AH1-L-P-T-IH0-NG, SCULPTING
AA1-R-N-AH0-B-IY0-Z, BARNABY'S
AO1-S-T-ER0, AUSTER COSTER GLOUCESTER IMPOSTER IMPOSTOR KLOSTER
IY1-N-B-EH2-L-T, GREENBELT
AA1-Z-EH0-K, BLAZEK KSIAZEK MRAZEK
AA1-K-AH0-S-AH0-Z, DUKAKIS'(2) DUKAKIS'S DUKAKISES
IH1-S-T-AH0-D-OW0, BISTODEAU
IH1-S-AH0-N-JH-ER0, BISSINGER CRISSINGER DISSINGER DYSINGER FRISINGER FRYSINGER GUISINGER
AA1-R-M-AH0-N-AY2-Z, HARMONIZE
AA1-R-M-B-R-AH0-S-T, ARMBRUST
AE1-M-ER0-UW2-N, CAMEROON
AA1-N-OW0-K-AA2-M, ECONOCOM
EH1-ZH-ER0-ER0, TREASURER
AA1-R-K-ER0, BARKER DARKER HARKER MARKER PARKER POLYMARKER STARKER
AE1-B-L-IH0-SH-M-AH0-N-T-S, ESTABLISHMENT'S ESTABLISHMENTS
AO1-R-D-ER0, BOARDER BORDER CORDER DISORDER GORDER NORDER ORDER RECORDER REORDER VANORDER WARDER
AY1-EH0-K, HAJEK
EH1-R-SH-IH2-P, AIRSHIP
AA1-L-B-ER0-N, AHLBORN
ER1-W-UH0-D, KERWOOD
IH1-K-Y-UW0-L-ER0, VENTRICULAR
IH1-N-AH0-G-R-EY2-T-IH0-NG, INTEGRATING(2)
AA1-N-ER0-AH0-B-L-IY0, HONORABLY
AO1-K-SH-AH0-N-D, AUCTIONED
IY1-S-AA0-N, NISSAN
OW1-N-F-EH0-L-D-ER0, SCHOENFELDER
AO1-L-T-S-B-R-UH2-K, ALLSBROOK(2)
EH1-M-K, LEMCKE ZEMKE
AH1-P-T-IH0-V, CORRUPTIVE DISPARAGES DISRUPTIVE ERUPTIVE
AE1-N-W-UH2-D, STANWOOD
EH1-K-T-IH0-K-AH0-L, DIALECTICAL
AW1-AH0-N-S, ALLOWANCE DISALLOWANCE REALLOWANCE
EH1-V-IH0-T, BREVET(2)
AA1-N-D-AH0-D, BONDED CORRESPONDED RESPONDED
AH1-L-ER0, COLOR CULLER DISCOLOR DULLER MCCULLAR MCCULLER METROCOLOR MULLER MULTICOLOR NONCOLOR STULLER TULLAR TULLER
AO1-R-SH-AH0-N-AH0-S-S, ABORTIONISTS(2)
ER1-AH0-L-Z, DEFERRALS REFERRALS SQUIRRELS
EH1-R-AH0-D-IY0-D, PARODIED
AE1-N-K-IH2-D, GRANDKID(2)
EY1-V-AH0-L, NAVAL NAVEL
ER1-L-AH0, BURLEIGH LYERLA PERLA
AE1-SH-IY0-OW2, MUSTACHIO PISTACHIO
EH1-N-IY0-W-AH0-N, ANYONE
EY1-AH0-N-T, VALENT WEYANDT WEYANT
AA1-B-UH0-L, KABUL
AA1-M-B-ER0, MACOMBER MCOMBER SOMBER
AA1-S-AH0-V-IH0-CH, BARTOSIEWICZ LUKASIEWICZ
ER1-ZH-AH0-N-Z, ASPERSIONS CONVERSION'S CONVERSIONS DIVERSIONS EXCURSIONS INCURSIONS PERSIANS VERSIONS
AE1-S-T-ER0-K-AA2-R-D, MASTERCARD
AA1-N-AH0-G-IY0, MCCONAGHY MCCONAUGHY
AE1-N-D-AO2-N, SANDON
AE1-K-CH-ER0-IH0-NG, FRACTURING MANUFACTURING NONMANUFACTURING
AA1-M-AH0-V-IH2-T-S, ABRAMOVITZ
EH1-S-T-IY2-Z, TESTES
IH1-L, 'TIL ABRIL ANTILL ASBILL AUVIL BASTILLE(2) BELLEVILLE BIHL BIL BILL BRAZIL BRILL BRIZILL CALILL CHILL COURVILLE CRILL DEMILLE(2) DEVILLE DILL DILLE DISTIL DISTILL DOUVILLE DRILL DUTIL FIL FILL FRIL FRILL FULFILL GAMBILL GAYSHILL GIL GILL GOODWILL GRABILL GRILL GRILLE GUILL HILL HILLE IL ILL INSTILL ISBILL JABRIL(2) JIL JILL KILL KILLE KNILL KRILL LIL LILL LILLE MACDILL MCDILL MCGILL MIL MILL MILLE NEWILL NIL NILL PHIL PIHL PIL PILL PILLE PRILL PUDWILL QUENNEVILLE QUILL REFILL RILL SCHILL SEVILLE SHILL SHRILL SIL SILL SKILL SPILL STIHL STIL STILL STILLE SUNIL SWILL TALLIL THILL THRILL TIL TILL TRILL TWILL UNTIL UPHILL VILLE WADDILL WE'LL(2) WIL WILL WILLE ZIL ZILL
AH1-NG-G-AH0-L-IH0-NG, BUNGLING
IH1-N-K-L-AY0-N, GEOSYNCLINE INCLINE(2)
AY1-W-EY2-Z, BYWAYS HIGHWAY'S HIGHWAYS SUPERHIGHWAYS
IH1-F-T-IH0-NG, DRIFTING GIFTING LIFTING SHIFTING SIFTING
AA1-S-AH0-N, AASEN BOSSEN CHIASSON CLAASSEN CLOSSON CROSSAN CROSSON FOSSEN GLOSSON JOHSON JOSTEN KLAASSEN MAASSEN OSTEN ROSSON ROSTEN VANFOSSAN VANFOSSEN WASON
AO1-L-T-S-AH0-Z, WALTZES
AO1-R-HH, POARCH
AE1-K-W-AH0-D-AH2-K-T-S, AQUEDUCTS
OW1-L-D-AH0-N-K-AE0-M-P, OLDENKAMP
UW1-M-AO0, MUMAW
EH1-V-AH0-L-ER0-Z, LEVELER'S LEVELERS REVELERS
AA1-N-AH0-Y-UW0, DONOGHUE(2) DONOHUE(2)
EH1-M-Z-L-IY0, HEMSLEY
AH1-P-N-IH0-K, KRUPNICK
EH1-N-T-R-AH0-L-AY2-Z-D, CENTRALIZED DECENTRALIZED
EH1-NG-L-ER0, GENGLER SPENGLER(2)
AH1-M-B-AH2-G, HUMBUG
AH1-N-D-ER0-D-Z, HUNDREDS(3)
IH1-S-T-AH0-F, KRISTOF
AA1-R-L-AY2-L, CARLISLE CARLYLE
IY1-IH0-K-AH0-L-Z, VEHICLES(2)
AE1-K-S-AH0-M-AH0-T, AKSAMIT
AE1-M-B-R-AW0, FAMBROUGH
AW1-T-P-AW2-CH-IH0-NG, OUTPOUCHING
IY1-F-IH0-K-S, PREFIX
EH1-K-SH-AH0-N-IH2-Z-AH0-M, PERFECTIONISM PROTECTIONISM
AA1-N-V-AH0-N-T, CONVENT
AW1-B-M-AH0-N, TAUBMAN
EH1-N-T-ER0-JH-IY0, ENTERGY
EH1-N-R-IH0-K, GENRICH HENRICH HENRICK HENRIK KENRICK MCKENRICK WENRICH WENRICK
AE1-D-AH0-N-AH0, ADENA
EH1-R-D-R-EH2-S-ER0, HAIRDRESSER
IH1-T-ER0-M-AH0-N, BITTERMAN BITTERMANN KITTERMAN
AE1-D-IH0-G-AH0-N, MADIGAN
ER1-K-ER0-T, BURKERT HERKERT
AO1-T-AH0-M-EY2-T-S, AUTOMATES
ER1-V-AH0-T-ER0, CONSERVATOR
AA1-S-L-IH2-N, CROSLIN CROSSLIN GOSLIN JOSLEYN JOSLIN OSLIN ROSLIN ROSSLYN
AH1-N-D-AH0-S-W-EH2-R, BUNDESWEHR
AA1-R-D-IH0-G-AH0-N, CARDIGAN
AY1-AH0-T-ER0-Z, DIETERS PROPRIETOR'S PROPRIETORS RIOTERS
EH1-TH-AH0-D-Z, METHODS
